TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g001280,플로깅용 집게,1,2,2138152063,(주)아성다이소,전북 전주시 완산구 유연로 154,전북 전주시 완산구 효자동3가 1627-6,3266056,4511114200,2023-05-28 10:59,1,4000,원터치스텐무광집게;YS바베큐집게,
g_g004822,빵 커피,2,3,6213501211,컴포즈커피,강원특별자치도 원주시 나비허리길 168,강원특별자치도 원주시 관설동 1702-5,4457092,5113011600,2023-08-12 09:54,1,4000,아메리카노(HOT);아메리카노(ICE),
g_g001276,햇반 라면,0,3,,자연드림,809 지하 1층 자연드림,,,,,3,6000,,4128510500
g_g000249,간식,2,4,2138152063,(주)아성다이소,서울 강남구 남부순환로 2748,,2000003,1168011800,2023-05-25 18:23,1,7000,호박쫀드기;허니버터맛쫀드기;목제손잡이갈퀴,
g_g000365,공차,0,2,,공차 안양역점,만안로 232 안양역2층,,,,,1,10000,,4117110100
g_g004839,도시락,1,1,1251341595,한솥,경기 안성시 안성맞춤대로 1087,경기 안성시 연지동 132,2000021,4155011500,2023-08-05 09:40,1,11000,,
g_g004906,닭강정,0,3,,문전대박닭강정,860-9,,,,,1,12000,,4137010100
g_g003556,김밥 떡,2,3,6172094153,해변떡방,부산 수영구 광안해변로15번길 77,부산 수영구 남천동 556,4214067,2650010500,2023-07-16 07:42,1,16000,,
g_g004538,야구장 입장권,1,4,1448125090,티켓링크,경기 성남시 분당구 대왕판교로645번길 16,경기 성남시 분당구 삼평동 629,4340055,4113510900,2023-07-29 18:00,1,26000,관람권 ,
g_g005572,라면;술;고기 등,0,3,,홈플러스 세종점,세종 절재로 154,,,,,1,105000,,3611011000
e_e000191,햇반.라면.술.버섯.음료,1,5,2068526100,롯데슈퍼 성수점,서울 성동구 아차산로7길 28,서울 성동구 성수동2가 289-4,4109397,1120011500,2023-04-28 13:30,1,32850,현대백진미오징어;양송이/팩;오뚜기맛있는오뚜기밥;오뚜기열라면,
e_e000668,김밥,0,6,,애플김밥대소점,애플김밥,,,,,1,14000,,4377034000
e_e002195,기차표,0,2,,야놀자,1003 엠디엠타워,,,,,1,81800,,1168010600
f_f000001,돼지고기,0,3,,주식회사 농라,570-6,,,,,1,163500,,4159013100
f_f002508,버베큐 소스 삼겹살 양파 꼬치 피망,0,2,,애플수퍼체인,애플수퍼체인,,,,,3,80000,,2714010100
f_f015541,이동중 먹을 베이글빵,1,2,1390973371,브라운오델리,전북 전주시 완산구 마전로 5,전북 전주시 완산구 효자동3가 1645-8,3266094,4511114200,2023-09-02 10:41,1,25100,소금버터;명란감태 베이글;앙버터베이글;디카페인;아메리카노A ice,
f_f016830,한라봉젤리,0,1,,스타벅스,,,,,,1,2900,,2726010200
g_g000005,한화생명이글스파크 야구관람 예매권,2,1,,한화생명 Eagles Park,대전 중구 대종로 373,,3010004,3014011100,2023-04-29 17:00,1,32500,입장권,
g_g000009,음식 숯 과일,0,2,,토리야끼,352-14,,,,,4,40500,,4128111100
g_g000010,왕복 버스 표,1,1,1388128578,동양고속,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017,1165010700,2023-04-29 19:40,1,0,버스표,
g_g000014,고기등등,1,3,2160272568,수택할인마트,서울 서대문구 가재울로 43,서울 서대문구 남가좌동 376-3,3112001,1141012000,2023-04-27 21:35,1,72860,옛날자른당면;서울365우유;새로;처음처람;블럭치즈돈카츠,
g_g000016,도넛3개,0,2,,도너릿,사동로 176 1층,,,,,1,9700,,4150035000
g_g000025,어버이날 선물로 마사지기 구매,1,1,5428800332,(주)데일리앤코,서울 강남구 학동로 343,서울 강남구 논현동 119,3122011,1168010800,2023-04-21 13:27,1,370000,클럭 스트레칭 마사지기 울트라,
g_g000198,식품,0,2,,윙잇,온라인결재,,,,,1,64310,,2920011900
g_g000225,소고기,0,5,,우래정,645-2,,,,,3,200000,,4617010200
g_g000237,고기,0,4,,현대드림마트,81,,,,,3,40000,,4128710200
g_g000240,생수,0,2,,이마트에브리데이,,,,,,1,1000,,1121510100
g_g000242,간식,1,4,,홈플러스,서울 마포구 월드컵로 지하 240,서울 마포구 성산동 420,3113018,1144012500,2023-05-22 22:08,3,106550,,
g_g000249,식품,1,4,1668501039,주식회사 더마트 평택지점,경기 평택시 세교산단로101번길 114-1,경기 평택시 세교동 429-23,4364311,4122012000,2023-05-26 20:35,1,217190,롯데/꼬깔치토4번들;기획)할.옥수수꿀호떡;도나우)소떡소떡;오/뿌셔뿌셔_불고기맛;대림/휠터피S;통통꽃징어,
g_g000251,쌈장 옥수수통조림 케찹 우유,1,3,1078657147,스토리웨이,경북 경주시 건천읍 경주역로 80,,3353983,4713025626,2023-06-04 19:33,1,13400,1인떡튀순세트;참치김밥,
