TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
g_g000950,구례자연드림파크 휴펜션,0,3,Y,,,4,,구례자연드림파크 휴펜션,전남 구례군 용방면 용산로 107-81,전남 구례군 용방면 죽정리 452,,,,4,108000,
g_g003956,국립대전숲체원,0,9,Y,,,4,,국립대전숲체원,대전 유성구 숲체원로 124,대전 유성구 성북동 산 1-13,,,,1,66000,
g_g005377,낭만서프하우스,0,5,Y,,,2,,낭만서프하우스,전남 고흥군 영남면 해맞이로 680,전남 고흥군 영남면 남열리 173,,,,1,120000,
g_g000638,담양을담다,0,7,Y,,,2,,담양을담다,전남 담양군 담양읍 지침1길 9,전남 담양군 담양읍 지침리 144-8,,,,5,32000,
g_g000773,스카이모텔,0,4,Y,,,2,,스카이모텔,충북 단양군 단양읍 수변로 99,충북 단양군 단양읍 별곡리 566-1,,,,5,80000,
g_g006461,이안레지던스호텔,0,1,Y,,,2,,이안레지던스호텔,대전 서구 둔산로65번길 29,대전 서구 둔산동 1333,,,,2,140000,
g_g003119,알지비게스트하우스,0,7,Y,,,1,,알지비게스트하우스,전북 전주시 완산구 전주천동로 86-1,전북 전주시 완산구 교동 223-4,,,,1,25000,
g_g002612,더빌리지캠핑장,0,5,Y,,,2,,더빌리지캠핑장,충북 진천군 문백면 봉죽2길 20-78,충북 진천군 문백면 봉죽리 248-2,,,,5,160000,
g_g001280,여수하늘보라펜션,0,3,Y,,,2,,여수하늘보라펜션,전남 여수시 돌산읍 계동로 391,전남 여수시 돌산읍 평사리 296-1,,,,2,121824,
g_g003210,미무인호텔,0,2,Y,,,2,,미무인호텔,전북 임실군 관촌면 춘향로 3076-44,,,,,1,45000,
g_g004103,조령산자연휴양림,0,9,Y,,,4,,조령산자연휴양림,충북 괴산군 연풍면 새재로 1795,충북 괴산군 연풍면 원풍리 산 1-1,,,,5,90000,
g_g001133,전주시그니처호텔,0,1,Y,,,2,,,전북 전주시 덕진구 백제대로 838,전북 전주시 덕진구 우아동3가 752-48,,,,4,60000,
g_g000345,히든베이호텔,0,1,Y,,,2,,,전남 여수시 신월로 496-25,전남 여수시 신월동 1804,,,,4,150000,
g_g000498,호텔더루아 충장로점,0,1,Y,,,1,,,광주 동구 문화전당로35번길 3-10,광주 동구 남동 171-2,,,,1,50000,
g_g000540,히든베이호텔,0,1,N,,,4,,,전남 여수시 신월로 496-25,전남 여수시 신월동 1804,,,,4,60000,
g_g000638,백무동야영장,0,5,Y,,,2,,,,경남 함양군 마천면 강청리 148,,,,1,23000,
g_g001076,서울시서천연수원,0,11,Y,,,4,,,충남 서천군 서면 월하성길 74-87,충남 서천군 서면 월호리 621,,,,4,25000,
g_g002035,별무인텔,0,2,Y,,,2,,,전남 여수시 충무로 48-7,전남 여수시 충무동 628-17,,,,1,50000,
g_g005461,NU호텔,0,2,Y,,,2,,,충남 천안시 서북구 양지8길 6,충남 천안시 서북구 성정동 746-5,,,,4,38000,
e_e000005,갤럭시호텔,0,2,Y,,,2,,,인천 중구 월미문화로 9,인천 중구 북성동1가 98-578,,,,1,87000,
e_e000005,더위크앤 리조트,0,4,Y,,,2,,,인천 중구 용유서로 379,인천 중구 을왕동 773,,,,1,121440,
e_e000005,호텔스카이파크 인천송도,0,1,Y,,,2,,,인천 연수구 컨벤시아대로 233,인천 연수구 송도동 10-2,,,,1,90000,
f_f000004,방파제,0,5,N,,,3,,,중통리 116-9,,,,,4,0,
f_f009789,유탑마리나호텔&리조트,0,1,Y,,,2,,,전남 여수시 오동도로 61-15,전남 여수시 수정동 777-1,,,,1,118046,
g_g000004,할머니집,0,10,N,,,7,,,,,,,,4,0,
g_g000009,어게인캠핑,0,5,Y,,,2,,,충북 충주시 산척면 인등로 584,충북 충주시 산척면 명서리 593-3,,,,5,50000,
g_g000023,에어비앤비,0,11,Y,,,2,,,1171 201호,,,,,1,115530,
g_g000191,풍남헌,0,6,Y,,,3,,,전북 전주시 완산구 은행로 35,전북 전주시 완산구 풍남동3가 46-1,,,,5,120000,
g_g000198,스테이 사계,0,3,Y,,,2,,,전북 순창군 복흥면 용지길 51,전북 순창군 복흥면 대방리 212-4,,,,5,290000,
g_g000233,3917마중,0,6,Y,,,2,,,전남 나주시 향교길 42-9,전남 나주시 교동 27,,,,4,0,
g_g000240,브라운도트호텔 순천역점,0,1,Y,,,2,,,전남 순천시 팔마로 153,전남 순천시 덕암동 188-18,,,,1,114000,
g_g000258,어은돌아띠펜션,0,3,Y,,,3,,,충남 태안군 소원면 연들길 73,충남 태안군 소원면 모항리 792-5,,,,5,340000,
