TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,RSVT_YN,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
g_g007947,2,통행료,0,렌터카(승용/승합/버스 등등),N,2,,,,,1500,
g_g000552,16,교통비,0,기타,N,1,,,,,1500,
g_g000419,12,교통비,0,시외/고속버스,N,1,,,,,2000,
g_g010747,4,교통비,3,택시,N,2,6501401233,다구로잉,2023-09-17 17:03,1,2000,
g_g007226,13,교통비,0,시내/마을버스,N,2,,,,,2500,
g_g007785,4,교통비,0,택시,N,2,,,,,3000,
g_g004383,12,교통비,0,시외/고속버스,N,1,,,,,3500,
g_g003965,5,교통비,0,지하철,N,2,,,,,4000,
g_g006859,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,4000,
g_g002496,1,통행료,0,자가용(승용/승합/트럭 등등),N,6,,,,,4100,
g_g001000,5,교통비,0,지하철,N,1,,,,,5000,
g_g005925,4,교통비,4,택시,N,2,4178100283,(자)남진상사,2023-08-19 17:45,1,5000,택시비 
g_g006524,5,교통비,0,지하철,N,3,,,,,5000,
g_g009858,4,교통비,2,택시,N,2,4023456156,,2023-08-27 09:16,1,5000,택시비
g_g002247,13,교통비,0,시내/마을버스,N,3,,,,,5500,
g_g003541,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,5500,
g_g006971,11,교통비,1,관광버스,Y,2,,리빙인터내셔널,2023-08-31 16:41,1,5500,버스비
g_g007041,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,5500,
g_g012624,4,교통비,0,택시,N,1,,,,,5500,
g_g013127,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,5500,
g_g005573,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,5900,
g_g012431,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,5900,
g_g001708,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,6500,
g_g009931,5,교통비,0,지하철,N,2,,,,,6500,
g_g012348,16,교통비,0,기타,N,2,,,,,6500,
g_g000726,4,교통비,2,택시,N,1,1298638970,로카모빌리티(주),2023-06-08 11:58,1,6600,택시비
g_g000697,10,교통비,1,배/선박,N,1,,순천만국가정원,2023-05-27 13:30,1,7000,승선권
g_g000898,4,교통비,2,택시,N,2,1048183559,주식회사 티머니,2023-06-02 21:43,1,7000,택시비
g_g004678,5,교통비,0,지하철,N,2,,,,,7000,
g_g005219,4,교통비,0,택시,N,2,,,,,7000,
g_g005310,10,교통비,1,배/선박,N,2,3059310249,제2월호호,2023-08-14 15:57,1,7000,
g_g011952,16,교통비,0,기타,N,1,,,,,7000,
g_g006698,4,교통비,1,택시,N,1,1048183559,티머니,2023-08-19 17:26,1,7400,택시비 
g_g000959,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,7500,
g_g001390,8,교통비,0,새마을/무궁화열차,N,1,,,,,7500,
g_g003221,4,교통비,1,택시,N,2,4021370930,개인택시,2023-07-09 15:59,1,7500,택시비
g_g000726,4,교통비,1,택시,N,1,1048183559,주식회사 티머니,2023-06-08 13:39,1,7800,택시비
g_g000474,4,교통비,2,택시,N,1,7363600700,개인택시,2023-05-16 12:08,1,7900,택시비
g_g005302,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,8000,
g_g005899,4,교통비,3,택시,N,3,2860300492,개인택시,2023-08-27 23:01,1,8000,택시비
g_g012235,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,8000,
g_g001900,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,8500,
g_g002784,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,8500,
g_g003039,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,8500,
g_g007104,50,교통비,0,버스 + 지하철,N,1,,,,,8500,
g_g010510,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,8500,
g_g013113,8,교통비,0,새마을/무궁화열차,N,1,,,,,8600,
g_g004909,12,교통비,0,시외/고속버스,N,2,,,,,9000,
g_g005398,4,교통비,0,택시,N,2,,,,,9000,
g_g006666,5,교통비,0,지하철,N,2,,,,,9000,
g_g003453,8,교통비,1,새마을/무궁화열차,Y,1,3148210024,한국철도공사,2023-06-28 18:56,3,9500,기차표
g_g005402,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,9500,
g_g005793,13,교통비,0,시내/마을버스,N,2,,,,,9500,
g_g002046,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,10000,
g_g002963,4,교통비,0,택시,N,2,,,,,10000,
g_g011631,8,교통비,1,새마을/무궁화열차,Y,2,3148210024,한국철도공사,2023-09-01 22:19,1,10100,기차표
g_g006831,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,10500,
g_g000619,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,11000,
g_g001313,8,교통비,3,새마을/무궁화열차,N,2,3148210024,한국철도공사,2023-06-03 22:03,1,11000,기차표
g_g004416,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,11000,
g_g011162,4,교통비,1,택시,N,1,1090966035,개인택시,2023-09-03 21:37,1,11000,택시비
g_g011930,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,11000,
g_g001114,4,교통비,0,택시,N,2,,,,,11500,
g_g005694,8,교통비,1,새마을/무궁화열차,N,2,3148210024,한국철도공사,2023-08-19 09:40,1,11500,기차표
g_g003491,50,교통비,0,버스 + 지하철,N,1,,,,,12000,
g_g007807,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,12000,
g_g006475,4,교통비,0,택시,N,3,,,,,12500,
g_g000945,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,13000,
g_g002702,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,13500,
g_g007433,50,교통비,0,버스 + 지하철,N,2,,,,,13500,
g_g001798,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,14000,
g_g001344,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,15000,
g_g007104,16,교통비,0,기타,N,1,,,,,15000,
g_g012175,4,교통비,0,택시,N,2,,,,,15500,
g_g000260,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,16000,
g_g000992,16,교통비,0,기타,N,1,,,,,16000,
g_g002989,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,16000,
g_g011726,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,16000,
g_g000471,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,16500,
g_g000499,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,17000,
g_g006161,4,교통비,0,택시,N,3,,,,,17000,
g_g000792,1,통행료,0,자가용(승용/승합/트럭 등등),N,6,,,,,18000,
g_g006777,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,18000,
g_g002513,7,교통비,4,KTX/SRT(고속열차),Y,3,3148210024,한국철도공사,2023-06-09 00:00,1,18100,기차표
g_g000487,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,18500,
g_g001154,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,18500,
g_g004826,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,18500,
g_g007236,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,18500,
g_g008405,13,교통비,0,시내/마을버스,N,2,,,,,18500,
g_g001806,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,19000,
g_g002738,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,19000,
g_g008338,4,교통비,0,택시,N,2,,,,,19000,
g_g009898,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,19000,
g_g011832,1,통행료,0,자가용(승용/승합/트럭 등등),N,5,,,,,19000,
g_g000602,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,19500,
g_g001350,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,19500,
g_g004180,4,교통비,0,택시,N,3,,,,,20500,
g_g006668,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,20500,
g_g012197,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,20500,
g_g000678,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,21000,
g_g001856,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,21000,
g_g002223,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,21000,
g_g005814,11,교통비,0,관광버스,N,2,,,,,21000,
g_g009577,11,교통비,1,관광버스,N,1,4178106308,여수시티투어버스(동서관광),2023-08-25 19:00,1,21000,야간테마(탑승권)
g_g011448,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,21000,
g_g012350,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,21000,
g_g003712,8,교통비,1,새마을/무궁화열차,N,2,3148210024,한국철도공사,2023-07-29 07:33,1,21500,기차표
g_g003712,8,교통비,2,새마을/무궁화열차,N,2,3148210024,한국철도공사,2023-07-30 09:59,1,21500,기차표
g_g005080,4,교통비,0,택시,N,2,,,,,21500,
g_g010747,4,교통비,5,택시,N,2,2372300464,개인택시,2023-09-18 00:29,1,22300,택시비
g_g008812,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,22500,
g_g003960,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,23000,
g_g004961,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,23000,
g_g000732,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,25500,
g_g006249,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,26000,
g_g004810,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,28000,
g_g002795,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,29000,
g_g006020,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,29000,
g_g000299,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,30000,
