TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g000540,2305190004,3,0,0,1,4,1128131178,아르떼뮤지엄여수,전남 여수시 박람회길 1,,4647160,4613012600,2023-05-19 12:01,1,0,입장권+TEA BAR,
g_g001133,2306080002,2,0,0,1,2,5725100638,우리동네와인슈퍼,충남 서산시 한마음5로 41,충남 서산시 석림동 733-1,3254184,4421010700,2023-06-08 13:37,1,24000,,
g_g001133,2306080003,1,1,1,1,2,2082693025,갤러리카페버그내길135,충남 당진시 합덕읍 성동로 42,충남 당진시 합덕읍 성동리 326-4,3265126,4427025025,2023-06-08 14:39,1,12000,,
g_g000638,2305200005,1,0,0,1,2,8825200546,호도수꽃산장,경남 함양군 마천면 백무동로 345,,3346009,4887031025,2023-05-20 18:04,1,14000,땡초전,
g_g002127,2306170002,1,0,0,2,2,3178134275,농업회사법인괴산한우타운,충북 괴산군 칠성면 괴강로 632,충북 괴산군 칠성면 갈읍리 348,3246004,4376034031,2023-06-17 14:53,1,22000,상차림(대인);된장찌개;공기밥;후식비냉,
g_g006975,2308300003,3,0,0,0,2,,천리포수목원,천리포1길 187,,,,,1,24000,,4482534000
g_g006975,2308310001,1,0,0,1,2,3160451339,고향순대국밥,충남 태안군 안면읍 장터로 117-1,충남 태안군 안면읍 승언리 1143,3264033,4482525321,2023-08-31 11:44,1,22000,,
g_g005270,2308120002,2,2,2,1,4,3838600928,주식회사 한국공룡월드,전남 보성군 득량면 공룡로 822-51,,3290001,4678038026,2023-08-12 15:06,1,26000,,
g_g005461,2308160005,1,1,1,1,2,4941300845,이고집만두,충남 천안시 동남구 태조산길 258,충남 천안시 동남구 유량동 8-3,4547727,4413111200,2023-08-16 18:37,1,24000,,
g_g001076,2306020004,1,0,0,1,4,6834600161,한일옥,전북 군산시 구영3길 63,전북 군산시 신창동 2-1,4604087,4513010500,2023-06-02 21:00,1,32000,,
g_g002538,2306170003,1,0,0,1,2,3070486227,매향밤막국수,충남 공주시 백미고을길 18,충남 공주시 금성동 178-6,4553448,4415010800,2023-06-17 12:18,3,28000,,
