TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP
e_e000005,배우자,남자,30대
e_e000191,배우자,여자,40대
e_e000191,기타,여자,40대
e_e000191,기타,여자,70세이상
e_e000191,기타,남자,50대
e_e000316,친구,여자,20대
e_e000668,자녀,남자,10대
e_e000668,부모,남자,60대
e_e000668,배우자,남자,30대
e_e000668,자녀,여자,~9세이하
e_e000668,부모,여자,60대
e_e001579,형제/자매,여자,20대
e_e002195,친구,여자,20대
e_e003226,자녀,여자,30대
e_e004870,배우자,여자,40대
e_e004870,자녀,여자,10대
e_e004944,배우자,여자,30대
e_e007408,배우자,남자,40대
e_e011214,친구,여자,20대
e_e013132,"친목 단체/모임(동호회, 종교단체 등)",남자,20대
e_e013132,"친목 단체/모임(동호회, 종교단체 등)",여자,20대
e_e013132,"친목 단체/모임(동호회, 종교단체 등)",남자,20대
e_e013143,배우자,남자,40대
e_e013143,자녀,여자,10대
e_e013143,자녀,여자,~9세이하
e_e013144,배우자,여자,50대
e_e013149,배우자,남자,30대
e_e013179,부모,여자,60대
e_e013184,친구,여자,40대
e_e013188,연인,남자,30대
e_e013282,연인,남자,30대
f_f000001,자녀,남자,~9세이하
f_f000001,배우자,남자,40대
f_f000004,자녀,남자,~9세이하
f_f000004,배우자,여자,30대
f_f000030,연인,남자,20대
f_f002508,연인,여자,20대
f_f009789,연인,남자,20대
f_f015541,연인,남자,30대
f_f016471,배우자,여자,40대
f_f016471,자녀,남자,~9세이하
f_f016471,자녀,여자,10대
g_g000003,친구,여자,30대
g_g000003,친구,여자,30대
g_g000003,친구,여자,30대
g_g000004,부모,여자,50대
g_g000004,조부모,여자,70세이상
g_g000004,친인척,여자,50대
g_g000004,부모,남자,60대
g_g000004,형제/자매,남자,30대
g_g000004,친인척,남자,50대
g_g000009,배우자,남자,40대
g_g000014,부모,여자,70세이상
g_g000014,친구,여자,40대
g_g000014,친구,여자,40대
g_g000016,연인,여자,20대
g_g000023,연인,남자,20대
g_g000025,자녀,남자,~9세이하
g_g000026,자녀,여자,10대
g_g000026,친구,여자,30대
g_g000026,자녀,남자,~9세이하
g_g000191,형제/자매,여자,30대
g_g000191,부모,여자,60대
g_g000195,친구,남자,20대
g_g000198,연인,남자,30대
g_g000204,연인,남자,30대
g_g000208,연인,남자,30대
g_g000210,연인,여자,20대
g_g000215,배우자,남자,40대
g_g000220,배우자,남자,30대
g_g000225,부모,여자,60대
g_g000225,자녀,여자,~9세이하
g_g000225,배우자,남자,30대
g_g000225,자녀,남자,~9세이하
g_g000226,연인,여자,30대
g_g000231,배우자,남자,30대
g_g000233,친구,여자,20대
g_g000234,자녀,남자,10대
g_g000234,배우자,남자,40대
g_g000235,배우자,남자,40대
g_g000236,부모,여자,70세이상
g_g000237,자녀,남자,~9세이하
g_g000237,자녀,남자,10대
g_g000237,부모,남자,70세이상
g_g000240,형제/자매,여자,40대
g_g000242,자녀,남자,10대
g_g000242,배우자,남자,50대
g_g000242,자녀,여자,10대
g_g000248,배우자,여자,40대
g_g000248,자녀,여자,10대
g_g000248,자녀,남자,10대
g_g000249,배우자,남자,40대
g_g000249,자녀,남자,10대
g_g000249,자녀,여자,10대
g_g000250,자녀,남자,10대
