TRAVEL_ID,ADV_NM,TOTAL_ADV_WON
e_e000191,['햇반.라면.술.버섯.음료'],32850
e_e000668,['김밥'],14000
e_e002195,['기차표'],81800
f_f000001,['돼지고기'],163500
f_f002508,['버베큐 소스 삼겹살 양파 꼬치 피망'],80000
f_f015541,['이동중 먹을 베이글빵'],25100
f_f016830,['한라봉젤리'],2900
g_g000005,['한화생명이글스파크 야구관람 예매권'],32500
g_g000009,['음식 숯 과일'],40500
g_g000010,['왕복 버스 표'],0
g_g000014,['고기등등'],72860
g_g000016,['도넛3개'],9700
g_g000025,['어버이날 선물로 마사지기 구매'],370000
g_g000198,['식품'],64310
g_g000225,['소고기'],200000
g_g000237,['고기'],40000
g_g000240,['생수'],1000
g_g000242,['간식'],106550
g_g000249,"['간식', '식품']",224190
g_g000251,['쌈장 옥수수통조림 케찹 우유'],13400
g_g000265,['소고기 음료 간식'],79530
g_g000320,['주유'],59000
g_g000328,['빵; 음료수'],30000
g_g000336,['주유및 도예체험권'],30000
g_g000345,['아메리카노'],4300
g_g000365,['공차'],10000
g_g000392,['주유'],30000
g_g000393,['햇반 라면 육포'],25000
g_g000394,['과자 음료 컵라면'],56120
g_g000397,['백제문화단지 입장권'],17200
g_g000402,['고속버스 티켓'],29500
g_g000410,['출발 기차표'],18500
g_g000413,"['왕복 버스비', '왕복 버스비']",79600
g_g000419,['저녁식사'],5000
g_g000423,['고기류.물.즉석찌개'],100000
g_g000435,['집에 있는 음식들이라 금액을 산정하기 어려움'],0
g_g000442,['축제 입장권'],60000
g_g000464,['차량 LPG 충전'],8605
g_g000474,['간식'],4200
g_g000480,['양갈비 등 식자재'],89200
g_g000487,['자택에 가지고 있는걸로 가져감 따로 구매없음'],0
g_g000490,['커피와 빵'],5000
g_g000492,"['음식류 및 모기약 등', '음식류 및 모기약 등']",100770
g_g000507,['목란짬뽕외'],27359
g_g000515,['환화 이글스 파크 입장권'],62000
g_g000540,"['아르떼뮤지엄 입장권 + 티 바', '아르떼뮤지엄 입장권 + 티 바']",33000
g_g000556,['호미'],14800
g_g000560,['떡볶이;만두피;등갈비'],23000
g_g000577,['과일 라면 생수 장어 치킨 음료수 김 일회용품'],157000
g_g000581,['고기'],63500
g_g000607,['스파 이용권'],30220
g_g000618,['불고기'],43000
g_g000619,"['간식', '간식']",30300
g_g000628,['상추; 쌈장; 삼겹살; 두부; 김치; 숯; 소고기; 상추'],121000
g_g000629,['다누리아쿠아리움 고수동굴 패키지'],57600
g_g000638,['캠핑용품'],40000
g_g000658,"['과일 빵 등 먹거리', '과일 빵 등 먹거리']",36240
g_g000672,['어린이튜브2개 어린이비치모자2개 파라솔 유아래시가드 이유식 식재료 간식'],320000
g_g000688,['물'],1500
g_g000696,['보조배터리'],17480
g_g000701,['이삭토스트'],7200
g_g000717,['커피'],16900
g_g000726,['고속버스요금'],15800
g_g000732,['갯벌체험용 갈고리 등'],21500
g_g000734,['간단한 간식거리'],9200
g_g000735,['일정중 구매'],76760
g_g000769,"['바베큐 재료', '바베큐 재료']",46370
