TRAVEL_ID,가족/친지집,게스트하우스,기타,모텔/여관,민박,"야영(캠핑,글램핑등)",자연휴양림내 시설,전통 숙박시설,콘도미니엄/리조트,펜션,호텔,MAJOR_LODGE_TYPE,TOTAL_LODGE_WON
e_e000005,0,0,0,87000,0,0,0,0,121440,0,90000,"['모텔/여관', '콘도미니엄/리조트', '호텔']",298440
e_e000191,0,0,0,0,0,0,0,0,0,240000,0,['펜션'],240000
e_e000316,0,0,0,131095,0,0,0,0,0,0,0,['모텔/여관'],131095
e_e004870,0,0,0,0,0,0,260000,0,0,0,0,['자연휴양림내 시설'],260000
f_f000001,0,0,0,0,0,100000,0,0,0,0,0,"['야영(캠핑,글램핑등)']",100000
f_f000004,0,0,0,0,0,0,0,0,0,0,0,"['야영(캠핑,글램핑등)']",0
f_f000030,0,0,0,52000,0,0,0,0,0,75000,0,"['모텔/여관', '펜션']",127000
f_f001718,0,35000,0,0,0,0,0,0,0,0,0,['게스트하우스'],35000
f_f002508,0,0,0,0,0,0,0,0,119000,0,0,['콘도미니엄/리조트'],119000
f_f009789,0,0,0,0,0,0,0,0,0,0,118046,['호텔'],118046
g_g000003,0,0,209108,0,0,0,0,0,0,0,0,['기타'],209108
g_g000004,0,0,0,0,0,0,0,0,0,0,0,['가족/친지집'],0
g_g000009,0,0,0,0,0,50000,0,0,0,0,0,"['야영(캠핑,글램핑등)']",50000
g_g000010,0,0,0,0,0,0,0,0,0,0,60449,['호텔'],60449
g_g000016,0,0,0,150000,0,0,0,0,0,0,0,['모텔/여관'],150000
g_g000023,0,0,115530,0,0,0,0,0,0,0,0,['기타'],115530
g_g000026,0,124899,0,0,0,0,0,0,0,0,0,['게스트하우스'],124899
g_g000191,0,0,0,0,0,0,0,120000,0,0,0,['전통 숙박시설'],120000
g_g000198,0,0,0,0,0,0,0,0,0,290000,0,['펜션'],290000
g_g000204,0,0,0,35000,0,0,0,0,0,90000,0,"['모텔/여관', '펜션']",125000
g_g000206,0,0,0,0,0,0,0,0,0,0,145000,['호텔'],145000
g_g000210,0,0,0,53450,0,0,0,0,0,0,58000,"['모텔/여관', '호텔']",111450
g_g000215,0,0,0,0,0,0,0,0,0,0,97000,['호텔'],97000
g_g000220,0,0,0,0,0,0,152000,0,0,0,0,['자연휴양림내 시설'],152000
g_g000225,0,0,0,0,0,0,0,0,0,40000,0,['펜션'],40000
g_g000226,0,0,83181,0,0,0,0,0,0,0,0,['기타'],83181
g_g000231,0,0,0,0,0,0,0,0,0,0,46480,['호텔'],46480
g_g000233,0,0,0,0,0,0,0,0,0,0,0,['전통 숙박시설'],0
g_g000234,0,0,0,0,0,0,0,0,0,403152,0,['펜션'],403152
g_g000235,0,0,0,130000,0,0,0,0,0,0,162000,"['모텔/여관', '호텔']",292000
g_g000237,0,0,0,0,0,0,0,0,0,140000,0,['펜션'],140000
g_g000239,0,0,0,45000,0,0,0,0,0,0,0,['모텔/여관'],45000
g_g000240,0,0,0,0,0,0,0,0,0,0,114000,['호텔'],114000
g_g000242,0,0,0,0,0,0,0,0,0,162650,0,['펜션'],162650
g_g000249,0,0,0,0,0,200000,0,0,0,0,0,"['야영(캠핑,글램핑등)']",200000
g_g000251,0,0,0,0,0,50000,0,0,0,0,0,"['야영(캠핑,글램핑등)']",50000
g_g000256,0,0,0,0,0,0,76000,0,0,0,0,['자연휴양림내 시설'],76000
g_g000258,0,0,0,0,0,0,0,0,0,340000,0,['펜션'],340000
g_g000259,0,0,0,130000,0,0,0,0,0,0,0,['모텔/여관'],130000
g_g000260,0,0,0,0,60000,0,0,0,0,0,168538,['호텔'],228538
g_g000262,0,90000,0,0,0,0,0,0,0,0,0,['게스트하우스'],90000
g_g000264,0,0,0,0,0,0,0,0,0,0,204600,['호텔'],204600
g_g000269,0,0,0,0,0,0,75000,0,334977,0,0,"['자연휴양림내 시설', '콘도미니엄/리조트']",409977
g_g000285,0,0,0,0,287900,0,0,0,0,0,0,['민박'],287900
g_g000290,0,0,0,0,135000,0,0,0,0,0,0,['민박'],135000
g_g000298,0,0,0,0,0,0,0,0,0,0,494000,['호텔'],494000
g_g000299,0,0,0,0,0,0,0,0,120000,0,0,['콘도미니엄/리조트'],120000
g_g000301,0,0,0,0,0,0,0,0,0,0,200079,['호텔'],200079
g_g000305,0,0,0,0,0,0,0,0,0,0,148772,['호텔'],148772
g_g000306,0,0,420000,0,0,0,0,0,0,0,0,['기타'],420000
g_g000308,0,0,0,0,0,0,0,0,170000,0,0,['콘도미니엄/리조트'],170000
g_g000309,0,0,0,133000,0,0,0,0,0,0,0,['모텔/여관'],133000
g_g000311,0,0,0,0,0,0,0,0,0,0,1024200,['호텔'],1024200
g_g000312,0,0,0,0,0,0,0,0,0,0,260000,['호텔'],260000
g_g000314,0,0,0,0,0,0,0,0,0,0,206800,['호텔'],206800
g_g000316,0,0,0,50000,0,0,0,0,0,0,0,['모텔/여관'],50000
g_g000318,0,0,0,0,0,0,58000,0,0,0,110000,"['자연휴양림내 시설', '호텔']",168000
g_g000319,0,0,0,0,0,0,0,0,0,0,97200,['호텔'],97200
g_g000320,0,0,120000,0,0,0,95400,0,0,0,0,"['기타', '자연휴양림내 시설']",215400
g_g000328,0,100000,0,0,0,0,0,470475,0,0,0,['게스트하우스'],570475
g_g000334,0,0,0,80000,0,0,0,0,0,0,0,['모텔/여관'],80000
g_g000339,0,0,0,0,0,54999,0,0,0,0,0,"['야영(캠핑,글램핑등)']",54999
g_g000341,0,0,0,0,0,65000,0,0,0,0,0,"['야영(캠핑,글램핑등)']",65000
g_g000345,0,0,0,0,0,0,0,0,0,0,150000,['호텔'],150000
g_g000348,0,0,181381,0,0,0,0,0,0,0,0,['기타'],181381
g_g000351,0,0,0,0,0,0,0,0,200000,0,0,['콘도미니엄/리조트'],200000
g_g000354,0,0,0,0,0,0,0,0,0,0,22000,['호텔'],22000
g_g000357,0,0,0,0,0,0,0,0,0,0,187000,['호텔'],187000
g_g000374,0,0,0,0,0,0,0,0,260000,0,0,['콘도미니엄/리조트'],260000
g_g000378,0,0,0,0,0,0,0,0,0,0,255000,['호텔'],255000
g_g000380,0,0,0,0,0,0,0,0,0,0,155000,['호텔'],155000
g_g000384,0,0,0,0,0,160000,0,0,0,415906,0,"['야영(캠핑,글램핑등)', '펜션']",575906
