TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_MISSION_CHECK
e_e000005,"야외 스포츠, 레포츠 활동;테마파크, 놀이시설, 동/식물원 방문;호캉스 여행",2023-04-29,2023-05-03,"야외 스포츠, 레포츠 활동;테마파크, 놀이시설, 동/식물원 방문;호캉스 여행"
e_e000043,온천/스파;드라마 촬영지 방문;Well-ness 여행;친환경 여행(플로깅 여행),2023-04-28,2023-05-01,"시티투어;지역 문화예술/공연/전시시설 관람;테마파크, 놀이시설, 동/식물원 방문"
e_e000191,Well-ness 여행,2023-04-28,2023-05-01,신규 여행지 발굴;종교/성지 순례;친환경 여행(플로깅 여행)
e_e000316,Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;지역 문화예술/공연/전시시설 관람,2023-05-27,2023-05-30,SNS 인생샷 여행;인플루언서 따라하기 여행;지역 문화예술/공연/전시시설 관람
e_e000668,"테마파크, 놀이시설, 동/식물원 방문",2023-05-20,2023-05-21,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;시티투어"
e_e001033,Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;친환경 여행(플로깅 여행),2023-05-27,2023-05-28,종교/성지 순례;Well-ness 여행;SNS 인생샷 여행
e_e001240,쇼핑;SNS 인생샷 여행;시티투어;지역 축제/이벤트 참가,2023-06-04,2023-06-05,"호캉스 여행;지역 문화예술/공연/전시시설 관람;테마파크, 놀이시설, 동/식물원 방문"
e_e001423,Well-ness 여행,2023-05-29,2023-05-30,Well-ness 여행;쇼핑;지역 문화예술/공연/전시시설 관람
e_e001579,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;역사 유적지 방문;시티투어;야외 스포츠, 레포츠 활동",2023-06-07,2023-06-11,"지역 문화예술/공연/전시시설 관람;테마파크, 놀이시설, 동/식물원 방문;쇼핑"
e_e002195,쇼핑;호캉스 여행,2023-06-04,2023-06-05,쇼핑;인플루언서 따라하기 여행;역사 유적지 방문
e_e003226,쇼핑;온천/스파;Well-ness 여행;SNS 인생샷 여행;역사 유적지 방문,2023-07-01,2023-07-03,온천/스파;역사 유적지 방문;쇼핑
e_e004870,교육/체험 프로그램 참가;드라마 촬영지 방문;Well-ness 여행;역사 유적지 방문,2023-07-10,2023-07-13,Well-ness 여행;교육/체험 프로그램 참가;캠핑
e_e004944,쇼핑;Well-ness 여행;SNS 인생샷 여행;인플루언서 따라하기 여행;친환경 여행(플로깅 여행),2023-07-09,2023-07-10,시티투어;SNS 인생샷 여행;쇼핑
e_e007408,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행",2023-08-19,2023-08-20,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;신규 여행지 발굴"
e_e011214,쇼핑;종교/성지 순례;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-08-25,2023-08-26,"지역 문화예술/공연/전시시설 관람;쇼핑;테마파크, 놀이시설, 동/식물원 방문"
e_e013132,"테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;SNS 인생샷 여행;인플루언서 따라하기 여행;역사 유적지 방문",2023-09-09,2023-09-10,SNS 인생샷 여행;Well-ness 여행;인플루언서 따라하기 여행
e_e013143,SNS 인생샷 여행;시티투어;지역 문화예술/공연/전시시설 관람,2023-09-23,2023-09-24,지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행;역사 유적지 방문
e_e013144,"테마파크, 놀이시설, 동/식물원 방문;역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가",2023-09-23,2023-09-24,"테마파크, 놀이시설, 동/식물원 방문;지역 축제/이벤트 참가;쇼핑"
e_e013149,"Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;야외 스포츠, 레포츠 활동",2023-09-24,2023-09-25,Well-ness 여행;친환경 여행(플로깅 여행);신규 여행지 발굴
e_e013179,쇼핑;Well-ness 여행;SNS 인생샷 여행;역사 유적지 방문;유흥/오락(나이트라이프),2023-09-24,2023-09-25,역사 유적지 방문;쇼핑;Well-ness 여행
e_e013184,SNS 인생샷 여행;인플루언서 따라하기 여행;시티투어,2023-09-23,2023-09-24,쇼핑;시티투어;SNS 인생샷 여행
e_e013188,"테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;SNS 인생샷 여행;인플루언서 따라하기 여행;역사 유적지 방문",2023-09-23,2023-09-24,Well-ness 여행;SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람
e_e013282,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;인플루언서 따라하기 여행;시티투어;지역 문화예술/공연/전시시설 관람",2023-09-27,2023-09-28,"테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람;시티투어"
f_f000001,교육/체험 프로그램 참가;지역 축제/이벤트 참가,2023-04-29,2023-05-02,캠핑;지역 축제/이벤트 참가;교육/체험 프로그램 참가
f_f000004,캠핑;역사 유적지 방문;SNS 인생샷 여행,2023-04-29,2023-05-02,"역사 유적지 방문;캠핑;야외 스포츠, 레포츠 활동"
f_f000030,Well-ness 여행,2023-04-28,2023-05-01,지역 축제/이벤트 참가;Well-ness 여행;SNS 인생샷 여행
f_f001718,"테마파크, 놀이시설, 동/식물원 방문;등반 여행;역사 유적지 방문",2023-06-01,2023-06-03,"등반 여행;역사 유적지 방문;야외 스포츠, 레포츠 활동"
f_f002508,SNS 인생샷 여행;호캉스 여행,2023-06-07,2023-06-09,SNS 인생샷 여행;호캉스 여행;인플루언서 따라하기 여행
f_f008573,쇼핑;지역 문화예술/공연/전시시설 관람,2023-08-24,2023-08-25,"지역 문화예술/공연/전시시설 관람;역사 유적지 방문;테마파크, 놀이시설, 동/식물원 방문"
f_f009789,SNS 인생샷 여행;시티투어,2023-08-25,2023-08-27,"시티투어;SNS 인생샷 여행;테마파크, 놀이시설, 동/식물원 방문"
f_f015537,"쇼핑;SNS 인생샷 여행;야외 스포츠, 레포츠 활동",2023-09-03,2023-09-04,"야외 스포츠, 레포츠 활동;지역 축제/이벤트 참가;Well-ness 여행"
f_f015541,Well-ness 여행;시티투어;지역 문화예술/공연/전시시설 관람;유흥/오락(나이트라이프);지역 축제/이벤트 참가,2023-09-02,2023-09-03,SNS 인생샷 여행;인플루언서 따라하기 여행;지역 문화예술/공연/전시시설 관람
f_f016471,드라마 촬영지 방문;종교/성지 순례;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-09-16,2023-09-17,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;인플루언서 따라하기 여행
f_f016830,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;등반 여행",2023-09-26,2023-09-27,역사 유적지 방문;쇼핑;신규 여행지 발굴
g_g000003,시티투어;드라마 촬영지 방문,2023-04-30,2023-05-02,"Well-ness 여행;테마파크, 놀이시설, 동/식물원 방문;시티투어"
g_g000004,Well-ness 여행;역사 유적지 방문,2023-04-30,2023-05-02,Well-ness 여행;역사 유적지 방문;친환경 여행(플로깅 여행)
