GENDER,AGE_GRP,JOB_NM,TRAVEL_TERM,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE,TRAVEL_COMPANIONS_NUM,TRAVEL_ID
여,20,학생,1년,50130,50110,26500,자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(약),자연 선호(약),자연 선호(중),도시 선호(중),도시 선호(중),광주광역시,전남,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g002178
남,40,전문가 및 관련 종사자,한달,48840,48220,26500,자연 선호(강),자연 선호(강),자연 선호(약),도시 선호(중),중립,자연 선호(중),도시 선호(강),도시 선호(강),대전광역시,전북,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g004485
남,20,관리자,1년,46710,45190,47170,자연 선호(중),자연 선호(약),자연 선호(강),중립,도시 선호(중),자연 선호(약),자연 선호(강),도시 선호(강),서울특별시,전남,2인 여행(가족 외),새로운 경험 추구,1,g_g005167
여,30,사무 종사자,한달,42150,42210,28710,자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(약),도시 선호(약),자연 선호(중),도시 선호(중),인천광역시,대전,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g002887
남,20,서비스 종사자,한달,42150,50110,26350,자연 선호(중),자연 선호(강),자연 선호(중),중립,도시 선호(중),도시 선호(약),도시 선호(중),도시 선호(약),경기도,충남,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g004189
여,20,학생,한달,50110,30230,50130,자연 선호(약),자연 선호(중),도시 선호(약),자연 선호(약),자연 선호(중),도시 선호(약),도시 선호(약),자연 선호(중),충청북도,대전,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,4,g_g010617
여,50,서비스 종사자,1년,44770,42820,47280,자연 선호(중),중립,도시 선호(강),중립,중립,자연 선호(강),자연 선호(강),도시 선호(약),경기도,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",3,g_g001011
남,50,사무 종사자,한달,50110,42770,46890,도시 선호(약),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(중),자연 선호(약),도시 선호(중),자연 선호(중),전라남도,전북,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",3,g_g005581
남,40,장치․기계 조작 및 조립 종사자,1년,50110,11680,46130,도시 선호(약),자연 선호(약),자연 선호(강),자연 선호(약),도시 선호(중),도시 선호(중),도시 선호(중),자연 선호(중),충청북도,전남,2인 가족 여행,여행 동반자와의 친밀감 및 유대감 증진,1,g_g007086
남,60,단순노무종사자,한달,27140,42210,50130,도시 선호(강),중립,도시 선호(중),중립,도시 선호(중),도시 선호(약),도시 선호(중),도시 선호(중),서울특별시,충남,나홀로 여행,"역사 탐방, 문화적 경험 등 교육적 동기",0,g_g013093
여,30,사무 종사자,1년,50130,47110,42150,자연 선호(강),자연 선호(강),자연 선호(중),자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(약),대구광역시,대전,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g002668
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019
남,30,단순노무종사자,1년,50110,42150,26710,도시 선호(약),도시 선호(약),도시 선호(약),자연 선호(중),자연 선호(약),도시 선호(약),도시 선호(중),자연 선호(약),서울특별시,충남,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g002538
남,20,사무 종사자,한달,50130,44800,46130,중립,자연 선호(강),자연 선호(강),자연 선호(중),도시 선호(강),자연 선호(약),자연 선호(강),중립,경기도,충북,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",2,g_g001028
남,20,학생,한달,50110,46150,46130,자연 선호(약),자연 선호(약),자연 선호(중),자연 선호(약),자연 선호(중),도시 선호(중),자연 선호(중),도시 선호(중),전라남도,광주,2인 여행(가족 외),새로운 경험 추구,1,g_g009482
남,20,학생,한달,42210,41820,47130,자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(강),자연 선호(강),도시 선호(강),자연 선호(강),도시 선호(중),서울특별시,전남,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g005330
남,50,서비스 종사자,한달,44230,44210,30170,자연 선호(중),중립,자연 선호(약),중립,자연 선호(중),자연 선호(약),자연 선호(중),도시 선호(중),대전광역시,충남,2인 여행(가족 외),SNS 사진 등록 등 과시,1,g_g002154
남,20,학생,1년,50110,42150,26350,도시 선호(약),자연 선호(약),도시 선호(약),자연 선호(약),자연 선호(약),도시 선호(약),도시 선호(약),중립,경기도,대전,2인 여행(가족 외),새로운 경험 추구,1,g_g006231
여,30,사무 종사자,1년,50110,42150,30200,중립,중립,도시 선호(약),도시 선호(약),중립,자연 선호(약),자연 선호(중),도시 선호(약),경기도,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g007196
