TRAVEL_ID,KTX/SRT(고속열차),관광버스,기타,렌터카(승용/승합/버스 등등),배/선박,버스 + 지하철,새마을/무궁화열차,시내/마을버스,시외/고속버스,자가용(승용/승합/트럭 등등),자전거,지하철,캠핑카(자차 및 렌탈),택시,항공기,MAJOR_TRANSPORT,TOTAL_MVMN_WON
e_e000005,0,0,0,0,0,0,0,0,0,112300,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],112300
e_e000043,0,0,0,0,0,0,0,0,0,42925,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],42925
e_e000191,0,0,0,0,0,0,0,0,0,98000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],98000
e_e000316,140000,0,0,0,0,0,0,40000,0,9000,0,0,0,15300,0,['택시'],204300
e_e000668,0,0,0,0,0,0,0,0,0,86400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],86400
e_e001033,0,0,0,0,0,0,0,0,0,88000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],88000
e_e001579,0,0,0,0,0,23900,0,0,0,0,2000,0,0,0,0,['자전거'],25900
e_e002195,81800,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,"['KTX/SRT(고속열차)', '지하철']",86600
e_e003226,0,0,0,0,0,30000,0,0,0,0,0,0,0,3300,0,"['버스 + 지하철', '택시']",33300
e_e004870,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],19000
e_e004944,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],30000
e_e007408,0,0,0,0,0,0,0,0,0,33400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],33400
e_e011214,0,0,0,0,0,0,8300,0,15500,0,0,0,0,57100,0,"['새마을/무궁화열차', '시외/고속버스', '택시']",80900
e_e013132,0,0,0,131770,0,0,0,0,0,0,0,0,0,0,0,['렌터카(승용/승합/버스 등등)'],131770
e_e013143,0,0,0,0,0,0,0,0,0,8500,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],8500
e_e013144,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],25000
e_e013149,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],53000
e_e013184,0,0,0,0,0,86400,0,0,0,0,0,0,0,0,0,['버스 + 지하철'],86400
e_e013188,0,0,0,0,0,0,0,0,0,57800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],57800
f_f000001,0,0,0,0,0,0,0,0,0,86800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],86800
f_f000004,0,0,0,0,49650,0,0,0,0,126200,0,0,0,0,0,"['배/선박', '자가용(승용/승합/트럭 등등)']",175850
f_f000030,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50000
f_f001718,0,0,0,0,0,0,0,0,0,51400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],51400
f_f002508,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],60000
f_f008573,0,0,0,0,0,0,0,0,0,55800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],55800
f_f009789,0,0,0,0,0,0,0,0,0,120000,0,0,0,5100,0,['자가용(승용/승합/트럭 등등)'],125100
