TRAVEL_ID,MAJOR_ACTIVITY_TYPE
e_e000005,['취식']
e_e000043,['단순 구경 / 산책 / 걷기']
e_e000191,['취식']
e_e000316,['취식']
e_e000668,['쇼핑 / 구매']
e_e001033,['취식']
e_e001240,"['단순 구경 / 산책 / 걷기', '취식']"
e_e001423,['취식']
e_e001579,"['기타 활동', '취식']"
e_e002195,['환승/경유']
e_e003226,['취식']
e_e004870,['취식']
e_e004944,['취식']
e_e007408,['단순 구경 / 산책 / 걷기']
e_e011214,['체험 활동 / 입장 및 관람']
e_e013132,"['단순 구경 / 산책 / 걷기', '취식']"
e_e013143,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람']"
e_e013144,['단순 구경 / 산책 / 걷기']
e_e013149,['단순 구경 / 산책 / 걷기']
e_e013179,['체험 활동 / 입장 및 관람']
e_e013184,['취식']
e_e013188,['취식']
e_e013282,"['단순 구경 / 산책 / 걷기', '취식']"
f_f000001,['취식']
f_f000004,"['취식', '휴식']"
f_f000030,['취식']
f_f001718,['체험 활동 / 입장 및 관람']
f_f002508,['취식']
f_f008573,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
f_f009789,['취식']
f_f015537,"['체험 활동 / 입장 및 관람', '취식']"
f_f015541,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매', '취식']"
f_f016471,['체험 활동 / 입장 및 관람']
f_f016830,['환승/경유']
g_g000003,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000004,"['취식', '휴식']"
g_g000005,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '휴식']"
g_g000009,['취식']
g_g000010,"['취식', '환승/경유']"
g_g000014,['환승/경유']
g_g000016,['취식']
g_g000017,"['취식', '휴식']"
g_g000023,['취식']
g_g000025,"['취식', '휴식']"
g_g000026,['취식']
g_g000191,['취식']
g_g000195,['취식']
g_g000198,['취식']
g_g000204,['취식']
g_g000206,['단순 구경 / 산책 / 걷기']
g_g000208,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000210,['취식']
g_g000215,['취식']
g_g000220,['취식']
g_g000225,['취식']
g_g000226,['취식']
g_g000229,['쇼핑 / 구매']
g_g000230,['취식']
g_g000231,['체험 활동 / 입장 및 관람']
g_g000233,['취식']
g_g000234,['취식']
g_g000235,['취식']
g_g000236,"['취식', '휴식']"
g_g000237,['취식']
g_g000239,['단순 구경 / 산책 / 걷기']
g_g000240,['취식']
g_g000242,['단순 구경 / 산책 / 걷기']
g_g000248,['취식']
g_g000249,['취식']
g_g000250,['쇼핑 / 구매']
g_g000251,['체험 활동 / 입장 및 관람']
g_g000252,"['체험 활동 / 입장 및 관람', '취식']"
g_g000256,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000258,['취식']
g_g000259,['취식']
g_g000260,['체험 활동 / 입장 및 관람']
g_g000262,['취식']
g_g000264,"['쇼핑 / 구매', '휴식']"
g_g000265,['취식']
g_g000269,['취식']
g_g000270,['취식']
g_g000280,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매', '체험 활동 / 입장 및 관람', '취식']"
g_g000284,['취식']
g_g000285,['취식']
g_g000286,['쇼핑 / 구매']
g_g000287,['취식']
g_g000290,['휴식']
g_g000296,['취식']
g_g000298,['취식']
g_g000299,['취식']
g_g000301,['취식']
g_g000305,['체험 활동 / 입장 및 관람']
g_g000306,['체험 활동 / 입장 및 관람']
g_g000308,['취식']
g_g000309,['체험 활동 / 입장 및 관람']
g_g000311,"['취식', '휴식']"
g_g000312,['휴식']
g_g000313,['취식']
g_g000314,['휴식']
g_g000316,['단순 구경 / 산책 / 걷기']
g_g000318,['단순 구경 / 산책 / 걷기']
g_g000319,['취식']
g_g000320,['취식']
g_g000321,['취식']
g_g000322,['쇼핑 / 구매']
g_g000328,['취식']
g_g000334,['취식']
g_g000336,['취식']
g_g000338,['휴식']
g_g000339,['휴식']
g_g000341,['취식']
g_g000345,['취식']
g_g000346,"['쇼핑 / 구매', '체험 활동 / 입장 및 관람', '취식']"
g_g000348,"['체험 활동 / 입장 및 관람', '취식']"
g_g000351,['취식']
g_g000354,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매', '취식']"
g_g000357,['취식']
g_g000361,['단순 구경 / 산책 / 걷기']
g_g000365,"['쇼핑 / 구매', '환승/경유']"
g_g000367,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매']"
g_g000374,['쇼핑 / 구매']
g_g000378,['취식']
g_g000379,['취식']
g_g000380,['취식']
g_g000384,['취식']
g_g000387,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000389,['단순 구경 / 산책 / 걷기']
g_g000391,['취식']
g_g000392,"['취식', '환승/경유']"
g_g000393,['취식']
g_g000394,['취식']
g_g000396,['체험 활동 / 입장 및 관람']
g_g000397,['체험 활동 / 입장 및 관람']
g_g000399,['취식']
g_g000402,"['체험 활동 / 입장 및 관람', '취식']"
g_g000404,['단순 구경 / 산책 / 걷기']
g_g000405,['취식']
g_g000409,"['쇼핑 / 구매', '취식']"
g_g000410,"['체험 활동 / 입장 및 관람', '취식']"
g_g000413,['취식']
g_g000414,['취식']
g_g000418,['휴식']
g_g000419,['단순 구경 / 산책 / 걷기']
g_g000420,['체험 활동 / 입장 및 관람']
g_g000423,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g000425,['취식']
g_g000427,"['체험 활동 / 입장 및 관람', '휴식']"
g_g000429,['취식']
g_g000430,['취식']
g_g000435,['쇼핑 / 구매']
g_g000436,['쇼핑 / 구매']
g_g000437,['취식']
g_g000440,['체험 활동 / 입장 및 관람']
g_g000441,['단순 구경 / 산책 / 걷기']
g_g000442,['휴식']
g_g000443,['취식']
g_g000447,['취식']
g_g000453,['취식']
g_g000454,['취식']
g_g000459,['취식']
g_g000460,['취식']
g_g000461,['취식']
g_g000464,['취식']
g_g000466,['취식']
g_g000469,['취식']
g_g000471,"['체험 활동 / 입장 및 관람', '취식']"
g_g000473,"['취식', '휴식']"
g_g000474,['취식']
g_g000477,['단순 구경 / 산책 / 걷기']
g_g000478,['쇼핑 / 구매']
g_g000480,['단순 구경 / 산책 / 걷기']
g_g000481,['체험 활동 / 입장 및 관람']
g_g000483,['취식']
g_g000486,['체험 활동 / 입장 및 관람']
g_g000487,['취식']
g_g000488,['쇼핑 / 구매']
g_g000490,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '휴식']"
g_g000492,['취식']
g_g000494,['휴식']
g_g000498,['취식']
g_g000499,['취식']
g_g000502,"['체험 활동 / 입장 및 관람', '취식']"
g_g000503,['취식']
g_g000506,"['취식', '휴식']"
g_g000507,['취식']
g_g000508,['취식']
g_g000510,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000515,['휴식']
g_g000516,['단순 구경 / 산책 / 걷기']
g_g000518,['취식']
g_g000519,['취식']
g_g000520,['취식']
g_g000522,"['체험 활동 / 입장 및 관람', '취식']"
g_g000532,['단순 구경 / 산책 / 걷기']
g_g000536,['단순 구경 / 산책 / 걷기']
g_g000540,['취식']
g_g000541,['취식']
g_g000544,['취식']
g_g000545,['취식']
g_g000546,['단순 구경 / 산책 / 걷기']
g_g000552,"['취식', '휴식']"
g_g000556,['환승/경유']
g_g000558,['취식']
g_g000560,['취식']
g_g000562,['단순 구경 / 산책 / 걷기']
g_g000569,['취식']
g_g000570,['취식']
g_g000571,"['체험 활동 / 입장 및 관람', '취식']"
g_g000572,['취식']
g_g000577,['단순 구경 / 산책 / 걷기']
g_g000581,['체험 활동 / 입장 및 관람']
g_g000582,['체험 활동 / 입장 및 관람']
g_g000585,['취식']
g_g000590,"['체험 활동 / 입장 및 관람', '취식']"
g_g000592,['취식']
g_g000602,['휴식']
g_g000604,['휴식']
g_g000605,['취식']
g_g000606,['취식']
g_g000607,['휴식']
g_g000610,"['기타 활동', '체험 활동 / 입장 및 관람', '취식', '휴식']"
g_g000611,['취식']
g_g000612,['없음']
g_g000613,['취식']
g_g000614,['취식']
g_g000618,['휴식']
g_g000619,"['체험 활동 / 입장 및 관람', '취식']"
g_g000622,['취식']
g_g000624,['취식']
g_g000628,['단순 구경 / 산책 / 걷기']
g_g000629,['취식']
g_g000636,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000637,['취식']
g_g000638,['기타 활동']
g_g000639,['취식']
g_g000642,['취식']
g_g000643,['취식']
g_g000648,['환승/경유']
g_g000651,['취식']
g_g000653,['환승/경유']
g_g000654,"['체험 활동 / 입장 및 관람', '취식']"
g_g000657,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람']"
g_g000658,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000665,"['취식', '휴식']"
g_g000670,['휴식']
g_g000672,['취식']
g_g000675,"['쇼핑 / 구매', '취식']"
g_g000678,['취식']
g_g000680,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g000681,['취식']
