TRAVEL_ID,TOTAL_ACTIVITY_WON
g_g000540,86200.0
g_g001133,284600.0
g_g000638,341480.0
g_g002127,210350.0
g_g006975,359796.0
g_g005270,431200.0
g_g005461,176814.0
g_g001076,879040.0
g_g002538,130920.0
g_g004822,111200.0
g_g000545,109600.0
g_g000498,266900.0
g_g002035,213500.0
g_g000832,296500.0
g_g000952,353210.0
g_g005967,320400.0
g_g006029,461490.0
g_g000345,647100.0
e_e000005,413500.0
e_e000043,118800.0
e_e000191,194000.0
e_e000316,333750.0
e_e000668,210000.0
e_e001033,155500.0
e_e001240,96500.0
e_e001423,61500.0
e_e001579,196900.0
e_e002195,34500.0
e_e003226,99300.0
e_e004870,117000.0
e_e004944,184480.0
e_e007408,63000.0
e_e011214,51300.0
e_e013132,89800.0
e_e013143,31000.0
e_e013144,24500.0
e_e013149,71500.0
e_e013179,53100.0
e_e013184,37300.0
e_e013188,76600.0
e_e013282,67100.0
f_f000001,256110.0
f_f000004,63100.0
f_f000030,388980.0
f_f001718,63000.0
f_f002508,121750.0
f_f008573,30900.0
f_f009789,217500.0
f_f015537,165000.0
f_f015541,53300.0
f_f016471,125700.0
f_f016830,31300.0
g_g000003,307320.0
g_g000004,362680.0
g_g000005,262800.0
g_g000009,75000.0
g_g000010,78400.0
g_g000016,346620.0
g_g000017,96000.0
g_g000023,170300.0
g_g000025,104840.0
g_g000026,269990.0
g_g000191,142900.0
g_g000195,247700.0
g_g000198,88920.0
g_g000204,316350.0
g_g000206,118300.0
g_g000208,72500.0
g_g000210,89870.0
g_g000215,96000.0
g_g000220,158000.0
g_g000225,190376.0
g_g000226,215000.0
g_g000229,198346.0
g_g000230,349800.0
g_g000231,56100.0
g_g000233,383100.0
g_g000234,584600.0
g_g000235,343500.0
g_g000236,12000.0
g_g000237,276900.0
g_g000239,68500.0
g_g000240,108800.0
g_g000242,264100.0
g_g000248,76300.0
g_g000249,137600.0
g_g000250,71000.0
g_g000251,81000.0
g_g000252,115800.0
g_g000256,119200.0
g_g000258,410700.0
g_g000259,297000.0
g_g000260,464100.0
g_g000262,190300.0
g_g000264,547400.0
g_g000265,557780.0
g_g000269,763100.0
g_g000270,579200.0
g_g000280,75600.0
g_g000284,37000.0
g_g000285,315700.0
g_g000286,45200.0
g_g000287,237500.0
g_g000290,516181.0
g_g000296,252000.0
g_g000298,465740.0
g_g000299,685700.0
g_g000301,277300.0
g_g000305,191400.0
g_g000306,268600.0
g_g000308,422660.0
g_g000309,137580.0
g_g000311,496220.0
g_g000312,15000.0
g_g000313,448790.0
g_g000314,320900.0
g_g000316,111700.0
g_g000318,219400.0
g_g000319,77650.0
g_g000320,242200.0
g_g000321,515010.0
g_g000322,315840.0
g_g000328,571920.0
g_g000334,105150.0
g_g000336,144080.0
g_g000338,120420.0
g_g000339,75700.0
g_g000341,41300.0
g_g000346,70800.0
g_g000348,367580.0
g_g000351,244980.0
g_g000354,186500.0
g_g000357,189100.0
g_g000361,87400.0
g_g000365,100800.0
g_g000367,250220.0
g_g000374,272930.0
g_g000378,200600.0
g_g000379,64500.0
g_g000380,257060.0
